suburb,responsible_authority,rest_area_name,description,site_status,latitude,longitude,lga,region,distance_from,road_name,road_number,link_no,carriageway_code,ne_unique,carriageway_configuration,side_of_road,category,vehicle_type,separated_parking_areas_light_heavy,shade,sign_non_potable,power_outlets,playground,litter_bins,emergency_phones,accessible,access_direction,lighting,tree_shading,tourist_information,sports_ground,shelter,bbq,picnic_table,toilets,baby_change_facilities,lookout,caravan_disposal,power_supply,driver_reviver,food_available,fuel_available,boat_ramp,pets_allowed,water_supply_type,access_direction_cardinal,guid,last_updated
ILLABO,COUNCIL,Illabo Rest Area,,,-34.81573,147.73869,JUNEE,SOUTH WEST REGION,17km from Junee and 36km to Cootamundra,OLYMPIC HIGHWAY,0000078,0361,A1,"0000078,0361,A1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,202F1EEF660068E9,2021-10-25 14:56:43+00
URANQUINTY,COUNCIL,Uranquinty Rest Area,,,-35.1932,147.24572,WAGGA WAGGA,SOUTH WEST REGION,61km from Culcairn and 16km to Wagga Wagga,MORGAN ST,0000078,0160,A1,"0000078,0160,A1",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,64F92B3B4A20BCFD,2021-10-25 14:56:43+00
WILSONS VALLEY,NATIONAL PARKS AND WILDLIFE SERVICE,Jindabyne Surge Tank Lookout E/B,,,-36.34213,148.58031,SNOWY MONARO REGIONAL,SOUTHERN REGION,13km North of Jindabyne,KOSCIUSZKO ROAD,0000286,0150,A2,"0000286,0150,A2",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,14453A99DD2CCE2B,2021-10-25 14:56:43+00
OTFORD,RMS,Parking area Otford Pie Shop,,,-34.21162,151.01025,WOLLONGONG,SOUTHERN REGION,4km North of Stanwell Park,LADY WAKEHURST DR,0000393,0010,A1,"0000393,0010,A1",,RIGHT,INFORMAL PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,920D8E326F384F0C,2021-10-25 14:56:43+00
OTFORD,RMS,Parking area Otford,,,-34.21156,151.01042,WOLLONGONG,SOUTHERN REGION,4km North of Stanwell Park,LADY WAKEHURST DR,0000393,0020,A1,"0000393,0020,A1",,RIGHT,INFORMAL PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,4E8CFED2A484356D,2021-10-25 14:56:43+00
OTFORD,RMS,Parking area Otford Lookout,,,-34.21072,151.01109,WOLLONGONG,SOUTHERN REGION,4km North of Stanwell Park,LADY WAKEHURST DR,0000393,0020,A1,"0000393,0020,A1",,RIGHT,INFORMAL PARKING AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,89F3885A15EDBCB6,2021-10-25 14:56:43+00
TERMEIL,COUNCIL,Termeil Information Bay,,,-35.48479,150.33916,SHOALHAVEN,SOUTHERN REGION,32km North of Batemans Bay,PRINCES HIGHWAY,0000001,1840,A2,"0000001,1840,A2",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,A5FFD24F4326D55B,2021-10-25 14:56:43+00
BOMBALA,RMS,south of Bombala Truck Parking,,,-36.90754,149.23947,SNOWY MONARO REGIONAL,SOUTHERN REGION,At Bombala,MAHRATTA ST,0000019,1090,A2,"0000019,1090,A2",,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,320FFDC7A173EB07,2021-10-25 14:56:43+00
BOMBALA,RMS,Truck park opp Bombala Historic Engine,,,-36.90654,149.24121,SNOWY MONARO REGIONAL,SOUTHERN REGION,At Bombala,MAHRATTA ST,0000019,1090,A2,"0000019,1090,A2",,RIGHT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,5635643E57687ED9,2021-10-25 14:56:43+00
COOMA,COUNCIL,Information Bay Kosciuszko Park S/B,,,-36.21823,149.13701,SNOWY MONARO REGIONAL,SOUTHERN REGION,3km North of Cooma,MONARO HIGHWAY,0000019,1260,A1,"0000019,1260,A1",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,62E7EE22D2270E0F,2021-10-25 14:56:43+00
BREDBO,COUNCIL,Bredbo Rest Area (Centennial Park),,,-35.95218,149.14567,SNOWY MONARO REGIONAL,SOUTHERN REGION,At Bredbo,MONARO HIGHWAY,0000019,1300,A2,"0000019,1300,A2",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,7331DEA6D7839BA6,2021-10-25 14:56:43+00
JINDABYNE,COUNCIL,Jindabyne Information Bay nr Banjo Paterson Inn,,,-36.41565,148.62424,SNOWY MONARO REGIONAL,SOUTHERN REGION,At Jindabyne,KOSCIUSZKO ROAD,0000286,0100,B1,"0000286,0100,B1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,8B24B7CCDACF6D54,2021-10-25 14:56:43+00
DORRIGO MOUNTAIN,RMS,Mountain Top Picnic Area,,OPEN,-30.37503,152.72581,BELLINGEN,NORTHERN REGION,24.5km west of Bellingen,WATERFALL WAY,0000076,0060,A1,"0000076,0060,A1",MAIN CARRIAGEWAY,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NONE,,ABCDE7FF7139C35B,2021-10-25 14:56:43+00
DORRIGO MOUNTAIN,RMS,Dorrigo Mountain Top,,OPEN,-30.37462,152.72531,BELLINGEN,NORTHERN REGION,24.7km west of Bellingen,WATERFALL WAY,0000076,0060,A1,"0000076,0060,A1",PHYSICAL SEPARATION,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,E46B1D895B2569BB,2021-10-25 14:56:43+00
BOGGABILLA,RMS,,,,-28.85202,150.21904,MOREE PLAINS,WESTERN REGION,,NEWELL HIGHWAY,0000017,3370,A1,"0000017,3370,A1",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,BOTH,563C5913C2AFB8AC,2021-10-25 14:56:43+00
BLAXLANDS RIDGE,RMS,,,,-33.46153,150.81332,HAWKESBURY,SYDNEY PARKLAND ZONE,12.4km from Kurmond turn off,THE PUTTY RD,0000503,1070,A3,"0000503,1070,A3",,LEFT,INSPECTION BAY,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,109F1AF7BDBFCD7F,2021-10-25 14:56:43+00
GRONG GRONG,RMS,Firetail Rest Area,N,OPEN,-34.69395,146.78883,NARRANDERA,SOUTH WEST REGION,27km from Narrandera and 109km to West Wyalong,NEWELL HIGHWAY,0000017,2332,A1,"0000017,2332,A1",PHYSICAL SEPARATION,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,1279B5B035AB854E,2021-10-25 14:56:43+00
BOOROWA,COUNCIL,BOOROWA DRIVER REVIVER SITE,,,-34.43873,148.71591,HILLTOPS,SOUTH WEST REGION,,MARSDEN ST,0000056,0060,A1,"0000056,0060,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,4E1F6CBFDFCCBC2F,2021-10-25 14:56:43+00
COLO HEIGHTS,RMS,,,,-33.22472,150.66438,HAWKESBURY,SYDNEY PARKLAND ZONE,54.1km from Kurmond Rd turn off,THE PUTTY RD,0000503,1100,A2,"0000503,1100,A2",,LEFT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,51818F7C5BA198CF,2021-10-25 14:56:43+00
BILPIN,RMS,,,,-33.51225,150.5726,HAWKESBURY,SYDNEY PARKLAND ZONE,54.1km from Lithgow,BELLS LINE OF RD,0000184,0461,A1,"0000184,0461,A1",,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,A3CBE4285AD52B56,2021-10-25 14:56:43+00
MULLENGANDRA,RMS,Borella VC Rest Area,,OPEN,-35.91557,147.10223,GREATER HUME,SOUTH WEST REGION,28km from Albury and 146km to Gundagai,HUME HIGHWAY,0000002,2195,C1,"0000002,2195,C1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,COUNTER,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,BORE WATER,,1D92D3DCA5D64864,2021-10-25 14:56:43+00
WILBERFORCE,RMS,,,,-33.53766,150.83552,HAWKESBURY,SYDNEY PARKLAND ZONE,1.7km from Kurmond turn off,THE PUTTY RD,0000503,1020,A1,"0000503,1020,A1",,LEFT,PARKING AREA,HEAVY VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,91E5C0E65F3E2D4C,2021-10-25 14:56:43+00
HOLBROOK,RMS,MILTON REST AREA,,,-35.6818,147.36277,GREATER HUME,SOUTH WEST REGION,109km from Gundagai and  71km to Albury,HUME HIGHWAY,0000002,2095,C1,"0000002,2095,C1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WATER TRUCK,,5C66DA5D7F9EB318,2021-10-25 14:56:43+00
WOOMARGAMA,RMS,Blue Metal Rest Area,,,-35.84447,147.19783,GREATER HUME,SOUTH WEST REGION,134km from Gundagai and  46km to Albury,HUME HIGHWAY,0000002,2185,B3,"0000002,2185,B3",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,BORE WATER,,2CA3FE40C4F503B2,2021-10-25 14:56:43+00
WOOMARGAMA,RMS,Four Mile Creek Rest Area,,,-35.83944,147.2031,GREATER HUME,SOUTH WEST REGION,134km from Gundagai and  46km to Albury,HUME HIGHWAY,0000002,2185,C3,"0000002,2185,C3",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COUNTER,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RAINWATER TANK,,5504E34683F083EB,2021-10-25 14:56:43+00
CANOWINDRA,COUNCIL,Morris Park,,OPEN,-33.56017,148.66763,CABONNE,WESTERN REGION,2km north of Canowindra Town Centre,RODD ST,0000310,0106,A1,"0000310,0106,A1",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,8DCAB9511D59B02E,2021-10-25 14:56:43+00
COFFS HARBOUR,PRIVATE,Coffs South Service Centre,,OPEN,-30.32068,153.08658,COFFS HARBOUR,NORTHERN REGION,0 km from Stadium Drive Coffs Harbour,PACIFIC HIGHWAY,0000010,2490,C1,"0000010,2490,C1",PHYSICAL SEPARATION,RIGHT,HIGHWAY SERVICE CENTRE,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,COUNTER,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,95C860D002BC5D59,2021-10-25 14:56:43+00
SEBASTOPOL,RMS,Parking Area near Keiths Rd,Y,OPEN,-34.57127,147.51072,JUNEE,SOUTH WEST REGION,72km from Wagga Wagga and 15km to Temora,GOLDFIELDS WAY,0000057,0042,A1,"0000057,0042,A1",PHYSICAL SEPARATION,LEFT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,8FCA9F17E8A82BA3,2021-10-25 14:56:43+00
GILLENBAH,RMS,Gillenbah Rest Area,N,OPEN,-34.81475,146.47918,NARRANDERA,SOUTH WEST REGION,98km from Jerilderie and 10km to Narrandera,NEWELL HIGHWAY,0000017,2200,A1,"0000017,2200,A1",PHYSICAL SEPARATION,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WATER TRUCK,BOTH,682720883E8AF9CD,2021-10-25 14:56:43+00
WEST BALLINA,PRIVATE,Ballina Service Centre,,OPEN,-28.8611,153.51603,BALLINA,NORTHERN REGION,,Pacific Highway,0000010,3135,B1,"0000010,3135,B1",PHYSICAL SEPARATION,LEFT,HIGHWAY SERVICE CENTRE,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PRESCRIBED,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,5C94CC0200B5D8B4,2021-10-25 14:56:43+00
ANABRANCH SOUTH,RMS,Bunnerungee Rest Area,,OPEN,-33.58071,141.75593,WENTWORTH,SOUTH WEST REGION,67km from Wentworth and  200km to Broken Hill,SILVER CITY HIGHWAY,0000022,0120,A1,"0000022,0120,A1",PHYSICAL SEPARATION,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,E9043465F73C9F49,2021-10-25 14:56:43+00
GIDGINBUNG,RMS,Schmidts Lane,,,-34.33438,147.47729,TEMORA,SOUTH WEST REGION,14km from Temora and  55km to West Wyalong,GOLDFIELDS WAY,0000057,0110,A1,"0000057,0110,A1",,RIGHT,PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,C2A5E0F2A02CF661,2021-10-25 14:56:43+00
SPRINGDALE,COUNCIL,Spingdale,,,-34.46804,147.72626,TEMORA,SOUTH WEST REGION,62.5km from Harden and 19.6km to Temora,BURLEY GRIFFIN WAY,0000084,0190,A1,"0000084,0190,A1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,BOTH,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,4CAAADC08A488D03,2021-10-25 14:56:43+00
